Fecha,U.S.,,Fecha,Texas,California,Florida,,Región,Último dato,Cambio YoY,Cambio MoM
1/1/2020,951699,,1/1/2020,86006,51831,129170,,U.S.,964477,71916,49617
2/1/2020,928363,,2/1/2020,85285,51455,129210,,Texas,123841,10676,6105
3/1/2020,937341,,3/1/2020,88824,52489,129064,,California,60521,2762,5352
4/1/2020,941752,,4/1/2020,88888,54869,129972,,Florida,162486,-14520,472
5/1/2020,928387,,5/1/2020,86730,57818,125101,,Miami-Dade County,17911,-875,-304
6/1/2020,871577,,6/1/2020,79078,54730,114937,,Broward County,15904,-1570,-182
7/1/2020,822849,,7/1/2020,74650,50226,106592,,Palm Beach County,12626,-1912,-192
8/1/2020,779567,,8/1/2020,70500,47061,100556,,Hillsborough County,5878,54,50
9/1/2020,749403,,9/1/2020,65706,47014,95404,,Orange County,5280,31,234
10/1/2020,734048,,10/1/2020,63053,47793,93553,,,,,
11/1/2020,683830,,11/1/2020,59392,44523,91402,,,,,
12/1/2020,612307,,12/1/2020,54108,36847,86812,,,,,
1/1/2021,531780,,1/1/2021,47616,30995,77534,,,,,
2/1/2021,464924,,2/1/2021,40924,29404,66242,,,,,
3/1/2021,440592,,3/1/2021,38024,29422,56290,,,,,
4/1/2021,435667,,4/1/2021,35997,30689,50741,,,,,
5/1/2021,447670,,5/1/2021,36222,32106,47360,,,,,
6/1/2021,492432,,6/1/2021,39770,34887,47829,,,,,
7/1/2021,546697,,7/1/2021,45796,39163,51689,,,,,
8/1/2021,574649,,8/1/2021,50358,40208,53233,,,,,
9/1/2021,578079,,9/1/2021,50465,40067,53143,,,,,
10/1/2021,565716,,10/1/2021,48982,39135,52088,,,,,
11/1/2021,512250,,11/1/2021,46035,33635,48959,,,,,
12/1/2021,445310,,12/1/2021,41799,26612,45302,,,,,
1/1/2022,376973,,1/1/2022,36614,22698,39961,,,,,
2/1/2022,346514,,2/1/2022,33022,23715,35586,,,,,
3/1/2022,354019,,3/1/2022,32738,26338,35653,,,,,
4/1/2022,379980,,4/1/2022,34932,29492,38096,,,,,
5/1/2022,479469,,5/1/2022,44106,40426,47510,,,,,
6/1/2022,573660,,6/1/2022,54809,48883,58237,,,,,
7/1/2022,691663,,7/1/2022,68582,59196,73645,,,,,
8/1/2022,726793,,8/1/2022,76269,59973,80072,,,,,
9/1/2022,731511,,9/1/2022,77895,58145,81829,,,,,
10/1/2022,752749,,10/1/2022,81393,58449,84324,,,,,
11/1/2022,750209,,11/1/2022,83035,56046,89633,,,,,
12/1/2022,680931,,12/1/2022,77929,46827,89502,,,,,
1/1/2023,616869,,1/1/2023,72413,40126,87717,,,,,
2/1/2023,579268,,2/1/2023,69099,36953,86380,,,,,
3/1/2023,562453,,3/1/2023,68521,34821,83981,,,,,
4/1/2023,562979,,4/1/2023,68817,33489,82354,,,,,
5/1/2023,582451,,5/1/2023,71195,35289,80912,,,,,
6/1/2023,614336,,6/1/2023,76583,37531,81676,,,,,
7/1/2023,647145,,7/1/2023,81594,39845,83090,,,,,
8/1/2023,669765,,8/1/2023,84575,41612,84883,,,,,
9/1/2023,702470,,9/1/2023,87541,43688,90722,,,,,
10/1/2023,738119,,10/1/2023,91783,45905,99874,,,,,
11/1/2023,755529,,11/1/2023,92944,46119,109378,,,,,
12/1/2023,714214,,12/1/2023,88514,40314,113490,,,,,
1/1/2024,665603,,1/1/2024,83701,36174,118163,,,,,
2/1/2024,664745,,2/1/2024,84826,36326,125963,,,,,
3/1/2024,694844,,3/1/2024,89640,38622,131880,,,,,
4/1/2024,734324,,4/1/2024,95156,42968,135259,,,,,
5/1/2024,787726,,5/1/2024,101118,48586,137536,,,,,
6/1/2024,839960,,6/1/2024,108808,53171,140080,,,,,
7/1/2024,883905,,7/1/2024,113622,57148,141334,,,,,
8/1/2024,908944,,8/1/2024,114506,58649,140873,,,,,
9/1/2024,937267,,9/1/2024,114916,61215,143944,,,,,
10/1/2024,954201,,10/1/2024,115782,61937,145659,,,,,
11/1/2024,952414,,11/1/2024,115315,60379,151957,,,,,
12/1/2024,871518,,12/1/2024,108089,50412,153052,,,,,
1/1/2025,829376,,1/1/2025,102552,47924,157221,,,,,
2/1/2025,847825,,2/1/2025,105867,52144,168717,,,,,
3/1/2025,892561,,3/1/2025,113165,57759,177006,,,,,
4/1/2025,959251,,4/1/2025,123237,64963,182589,,,,,
5/1/2025,1036101,,5/1/2025,131795,73160,181822,,,,,
6/1/2025,1082520,,6/1/2025,138255,76737,178636,,,,,
7/1/2025,1102787,,7/1/2025,140980,77994,174584,,,,,
8/1/2025,1098681,,8/1/2025,139604,76629,166558,,,,,
9/1/2025,1100407,,9/1/2025,135984,74140,161916,,,,,
10/1/2025,1099856,,10/1/2025,134495,70636,162079,,,,,
11/1/2025,1072266,,11/1/2025,131881,66253,163076,,,,,
12/1/2025,976833,,12/1/2025,122301,56034,160877,,,,,
1/1/2026,912696,,1/1/2026,115395,52031,158243,,,,,
2/1/2026,914860,,2/1/2026,117736,55169,162014,,,,,
3/1/2026,964477,,3/1/2026,123841,60521,162486,,,,,
