Fecha,USDMX,50d MA,100d MA,200d MA,,Año,Rendimiento del peso,,Periodo,Máximo,Mínimo
1/2/2020,18.8817,19.194916,19.400465,19.265574,,2020,-5.54%,,Año,18.1033,17.1392
1/3/2020,18.8673,19.189418,19.394855,19.2649085,,2021,-2.81%,,Mes,17.8117,17.2623
1/6/2020,18.827,19.183858,19.387322,19.2644945,,2022,4.86%,,,,
1/7/2020,18.8852,19.179046,19.381544,19.2645735,,2023,13.11%,,,,
1/8/2020,18.798,19.17325,19.373761,19.262879,,2024,-22.86%,,,,
1/9/2020,18.8453,19.168516,19.365849,19.26203,,2025,13.40%,,,,
1/10/2020,18.7732,19.162894,19.357912,19.2604015,,2026,4.05%,,,,
1/13/2020,18.8215,19.15699,19.347974,19.2579085,,,,,,,
1/14/2020,18.812,19.149944,19.338572,19.255072,,,,,,,
1/15/2020,18.8077,19.142202,19.329851,19.252221,,,,,,,
1/16/2020,18.793,19.135946,19.320314,19.2501015,,,,,,,
1/17/2020,18.7388,19.127672,19.3093,19.247656,,,,,,,
1/20/2020,18.6725,19.116872,19.296939,19.245116,,,,,,,
1/21/2020,18.7007,19.10698,19.284012,19.2427555,,,,,,,
1/22/2020,18.6883,19.098092,19.270581,19.2407945,,,,,,,
1/23/2020,18.8018,19.091992,19.257611,19.239953,,,,,,,
1/24/2020,18.8313,19.086438,19.245228,19.239495,,,,,,,
1/27/2020,18.9407,19.080896,19.233382,19.2400185,,,,,,,
1/28/2020,18.8022,19.067854,19.221365,19.2398135,,,,,,,
1/29/2020,18.7067,19.053532,19.210626,19.2394875,,,,,,,
1/30/2020,18.7853,19.045112,19.201645,19.2391695,,,,,,,
1/31/2020,18.9082,19.035902,19.195104,19.2389525,,,,,,,
2/4/2020,18.6797,19.019896,19.186503,19.238111,,,,,,,
2/5/2020,18.6245,19.00411,19.177394,19.237054,,,,,,,
2/6/2020,18.6645,18.989426,19.168561,19.2355875,,,,,,,
2/7/2020,18.7763,18.976016,19.162059,19.234446,,,,,,,
2/10/2020,18.7653,18.960952,19.156047,19.2328015,,,,,,,
2/11/2020,18.674,18.943218,19.148525,19.2314645,,,,,,,
2/12/2020,18.6308,18.923608,19.141305,19.2295585,,,,,,,
2/13/2020,18.6458,18.90582,19.133782,19.227738,,,,,,,
2/14/2020,18.5712,18.88581,19.125016,19.225087,,,,,,,
2/17/2020,18.5715,18.865884,19.116272,19.2229385,,,,,,,
2/18/2020,18.5952,18.848374,19.107637,19.221024,,,,,,,
2/19/2020,18.591,18.832818,19.097772,19.2187295,,,,,,,
2/20/2020,18.7992,18.822308,19.089401,19.217307,,,,,,,
2/21/2020,18.9138,18.81598,19.081731,19.2155645,,,,,,,
2/24/2020,19.1197,18.81365,19.075583,19.215476,,,,,,,
2/25/2020,19.0878,18.811836,19.068669,19.214951,,,,,,,
2/26/2020,19.1585,18.814096,19.062269,19.21503,,,,,,,
2/27/2020,19.3973,18.822638,19.058874,19.2163985,,,,,,,
2/28/2020,19.776,18.839828,19.061379,19.2199235,,,,,,,
3/2/2020,19.6985,18.854714,19.062842,19.222689,,,,,,,
3/3/2020,19.2837,18.861108,19.059839,19.2236535,,,,,,,
3/4/2020,19.5335,18.873512,19.059485,19.2261665,,,,,,,
3/5/2020,19.8095,18.890932,19.062816,19.2303365,,,,,,,
3/6/2020,20.1623,18.914892,19.071222,19.236087,,,,,,,
3/9/2020,21.1117,18.958236,19.089687,19.2463165,,,,,,,
3/10/2020,21.0267,19.001866,19.107434,19.2561895,,,,,,,
3/11/2020,21.213,19.048672,19.127429,19.2664285,,,,,,,
3/12/2020,22.1518,19.114424,19.157345,19.28099,,,,,,,
3/13/2020,21.9288,19.175366,19.185141,19.2952925,,,,,,,
3/17/2020,23.0573,19.259166,19.224292,19.312366,,,,,,,
3/18/2020,23.9008,19.360642,19.27225,19.3330655,,,,,,,
3/19/2020,24.0868,19.464674,19.32186,19.355496,,,,,,,
3/20/2020,24.1113,19.57094,19.372095,19.3783435,,,,,,,
3/23/2020,25.0782,19.695598,19.432057,19.4051925,,,,,,,
3/24/2020,25.1185,19.822504,19.492699,19.432521,,,,,,,
3/25/2020,24.2948,19.93197,19.54448,19.457975,,,,,,,
3/26/2020,23.097,20.01767,19.583807,19.477849,,,,,,,
3/27/2020,23.5122,20.11176,19.626981,19.4997185,,,,,,,
3/30/2020,24.2853,20.221606,19.678776,19.5253225,,,,,,,
3/31/2020,23.4847,20.316524,19.722098,19.5470025,,,,,,,
4/1/2020,24.4918,20.43291,19.774891,19.5734995,,,,,,,
4/2/2020,24.1087,20.54107,19.824025,19.5985375,,,,,,,
4/3/2020,24.6938,20.66118,19.879636,19.62613,,,,,,,
4/6/2020,24.6895,20.778934,19.935463,19.6546755,,,,,,,
4/7/2020,24.0388,20.883084,19.984761,19.679539,,,,,,,
4/8/2020,24.0925,20.98612,20.033508,19.704085,,,,,,,
4/13/2020,23.7427,21.08493,20.076392,19.726663,,,,,,,
4/14/2020,23.5645,21.182086,20.117809,19.7487645,,,,,,,
4/15/2020,24.1155,21.28869,20.166901,19.7734995,,,,,,,
4/16/2020,24.2098,21.394722,20.215312,19.798505,,,,,,,
4/17/2020,23.9012,21.499152,20.259524,19.822631,,,,,,,
4/20/2020,24.0077,21.606816,20.305463,19.8473225,,,,,,,
4/21/2020,24.4248,21.722022,20.355724,19.8741955,,,,,,,
4/22/2020,24.5883,21.838262,20.407139,19.9021635,,,,,,,
4/23/2020,24.623,21.955416,20.458184,19.9300555,,,,,,,
4/24/2020,24.8583,22.079102,20.51116,19.959789,,,,,,,
4/27/2020,24.8492,22.20347,20.563539,19.9890135,,,,,,,
4/28/2020,24.3882,22.318318,20.612069,20.014742,,,,,,,
4/29/2020,24.0002,22.426898,20.656354,20.0391295,,,,,,,
4/30/2020,23.9283,22.534034,20.699959,20.0636175,,,,,,,
5/4/2020,24.3812,22.649754,20.749064,20.090622,,,,,,,
