Fecha,U.S.,Florida,,Región,YoY,MoM
1/1/2007,100.00,100.00,,U.S.,0.67%,0.72%
2/1/2007,99.86,100.00,,Miami,1.17%,0.97%
3/1/2007,99.71,99.09,,Tampa,-1.93%,-0.17%
4/1/2007,99.68,97.89,,Dallas,-1.71%,0.56%
5/1/2007,99.54,96.46,,Los Angeles,-1.6%,0.62%
6/1/2007,99.36,94.80,,San Francisco,0.6%,2.05%
7/1/2007,99.06,93.19,,San Diego,0.78%,1.22%
8/1/2007,98.64,91.36,,,,
9/1/2007,98.03,89.33,,,,
10/1/2007,97.16,87.45,,,,
11/1/2007,95.87,85.17,,,,
12/1/2007,94.87,82.93,,,,
1/1/2008,93.63,80.67,,,,
2/1/2008,92.60,78.28,,,,
3/1/2008,91.89,74.76,,,,
4/1/2008,91.57,71.73,,,,
5/1/2008,91.41,69.14,,,,
6/1/2008,91.14,67.95,,,,
7/1/2008,90.69,66.87,,,,
8/1/2008,89.91,65.66,,,,
9/1/2008,88.61,63.96,,,,
10/1/2008,87.11,62.06,,,,
11/1/2008,85.42,60.70,,,,
12/1/2008,83.49,59.06,,,,
1/1/2009,81.74,56.89,,,,
2/1/2009,80.79,55.20,,,,
3/1/2009,80.19,53.24,,,,
4/1/2009,80.42,52.17,,,,
5/1/2009,81.09,51.75,,,,
6/1/2009,81.98,52.03,,,,
7/1/2009,82.50,52.71,,,,
8/1/2009,82.46,53.29,,,,
9/1/2009,81.89,53.57,,,,
10/1/2009,81.32,53.36,,,,
11/1/2009,80.97,53.35,,,,
12/1/2009,80.27,53.20,,,,
1/1/2010,79.36,53.08,,,,
2/1/2010,78.29,52.79,,,,
3/1/2010,78.59,52.30,,,,
4/1/2010,79.58,51.91,,,,
5/1/2010,80.47,52.37,,,,
6/1/2010,80.83,52.58,,,,
7/1/2010,80.76,52.93,,,,
8/1/2010,80.14,52.78,,,,
9/1/2010,79.14,52.12,,,,
10/1/2010,78.33,51.55,,,,
11/1/2010,77.61,51.47,,,,
12/1/2010,76.96,51.22,,,,
1/1/2011,76.09,50.57,,,,
2/1/2011,75.38,49.54,,,,
3/1/2011,75.41,49.13,,,,
4/1/2011,76.16,49.03,,,,
5/1/2011,77.00,49.60,,,,
6/1/2011,77.68,49.91,,,,
7/1/2011,77.90,50.51,,,,
8/1/2011,77.60,50.37,,,,
9/1/2011,76.71,50.04,,,,
10/1/2011,75.75,49.46,,,,
11/1/2011,74.79,49.20,,,,
12/1/2011,73.97,49.30,,,,
1/1/2012,73.42,49.62,,,,
2/1/2012,73.33,49.94,,,,
3/1/2012,74.35,50.38,,,,
4/1/2012,75.78,50.58,,,,
5/1/2012,77.19,51.30,,,,
6/1/2012,78.35,52.12,,,,
7/1/2012,78.96,53.22,,,,
8/1/2012,79.19,53.73,,,,
9/1/2012,79.00,53.77,,,,
10/1/2012,78.79,53.67,,,,
11/1/2012,78.78,54.09,,,,
12/1/2012,78.73,54.53,,,,
1/1/2013,78.98,54.94,,,,
2/1/2013,79.44,55.10,,,,
3/1/2013,80.97,55.79,,,,
4/1/2013,82.62,57.14,,,,
5/1/2013,84.20,58.60,,,,
6/1/2013,85.61,59.80,,,,
7/1/2013,86.62,60.51,,,,
8/1/2013,87.23,60.99,,,,
9/1/2013,87.38,61.45,,,,
10/1/2013,87.32,62.14,,,,
11/1/2013,87.22,63.00,,,,
12/1/2013,87.17,63.55,,,,
1/1/2014,87.22,64.01,,,,
2/1/2014,87.49,63.91,,,,
3/1/2014,88.21,64.78,,,,
4/1/2014,89.18,65.50,,,,
5/1/2014,90.12,66.28,,,,
6/1/2014,90.96,66.65,,,,
7/1/2014,91.46,67.15,,,,
8/1/2014,91.64,67.32,,,,
9/1/2014,91.52,67.76,,,,
10/1/2014,91.34,68.03,,,,
11/1/2014,91.20,68.45,,,,
12/1/2014,91.09,68.85,,,,
1/1/2015,90.98,69.31,,,,
2/1/2015,91.18,69.72,,,,
3/1/2015,91.98,70.38,,,,
4/1/2015,93.01,71.01,,,,
5/1/2015,94.04,71.55,,,,
6/1/2015,94.92,71.78,,,,
7/1/2015,95.49,72.02,,,,
8/1/2015,95.73,72.28,,,,
9/1/2015,95.79,72.92,,,,
10/1/2015,95.79,73.39,,,,
11/1/2015,95.84,73.94,,,,
12/1/2015,95.82,73.72,,,,
1/1/2016,95.78,73.97,,,,
2/1/2016,95.92,73.99,,,,
3/1/2016,96.64,74.71,,,,
4/1/2016,97.68,75.50,,,,
5/1/2016,98.69,76.21,,,,
6/1/2016,99.55,76.76,,,,
7/1/2016,100.16,77.07,,,,
8/1/2016,100.50,77.38,,,,
9/1/2016,100.66,77.74,,,,
10/1/2016,100.70,78.10,,,,
11/1/2016,100.81,78.46,,,,
12/1/2016,100.91,78.74,,,,
1/1/2017,101.05,78.90,,,,
2/1/2017,101.25,78.93,,,,
3/1/2017,102.07,79.12,,,,
