Mes,Ventas Cerradas,Ventas en Efectivo,% Ventas en Efectivo,Nuevas Listings,Inventario
Enero 2025,643,194,30.20%,1639,4983
Febrero 2025,703,187,26.60%,1587,5140
Marzo 2025,961,226,23.50%,1778,5296
Abril 2025,950,237,24.90%,1605,5527
Mayo 2025,943,220,23.30%,1553,5687
Junio 2025,898,231,25.70%,1413,5669
Julio 2025,861,213,24.70%,1395,5539
Agosto 2025,885,202,22.80%,1317,5361
Septiembre 2025,865,201,23.20%,1373,5437
Octubre 2025,887,224,25.30%,1479,5498
Noviembre 2025,754,178,23.60%,1253,5554
Diciembre 2025,860,234,27.20%,1097,5251
Enero 2026,661,216,32.70%,1829,5433
Febrero 2026,733,208,28.40%,1448,5310
Marzo 2026,1063,280,26.30%,1461,4902
Abril 2026,1032,269,26.10%,1419,4723
Mayo 2026,1042,290,27.80%,1460,4599
