Mes,Ventas Cerradas,Ventas en Efectivo,% Ventas en Efectivo,Nuevas Listings,Inventario
Enero 2025,733,386,52.70%,2609,12009
Febrero 2025,737,400,54.30%,2487,12568
Marzo 2025,1041,544,52.30%,2537,13037
Abril 2025,1005,522,51.90%,2338,13238
Mayo 2025,970,488,50.30%,2109,13192
Junio 2025,945,466,49.30%,1974,13046
Julio 2025,921,449,48.80%,1967,12838
Agosto 2025,903,434,48.10%,1960,12637
Septiembre 2025,904,421,46.60%,1959,12620
Octubre 2025,1003,510,50.80%,2128,12660
Noviembre 2025,764,381,49.90%,1848,12733
Diciembre 2025,1009,514,50.90%,1566,12015
Enero 2026,732,397,54.20%,2880,12509
Febrero 2026,845,467,55.30%,2166,12316
Marzo 2026,1071,533,49.80%,2121,11986
Abril 2026,1033,526,50.90%,2033,11899
Mayo 2026,1022,508,49.71%,2228,12016
